
> harmonygrid@0.1.0 dev
> vite --host 127.0.0.1 --port 5173 --strictPort
11:48:54 AM [vite] (client) page reload docs/site/index.html
11:48:54 AM [vite] (client) page reload docs/site/credits.html
11:48:54 AM [vite] (client) page reload docs/site/about.html
11:49:21 AM [vite] (client) page reload docs/website/about.html
11:49:21 AM [vite] (client) page reload docs/site/about.html
11:49:41 AM [vite] (client) page reload docs/website/about.html
11:49:41 AM [vite] (client) page reload docs/site/about.html
11:50:48 AM [vite] (client) page reload docs/website/about.html
11:50:48 AM [vite] (client) page reload docs/site/about.html
12:01:50 PM [vite] (client) page reload docs/website/about.html
12:01:50 PM [vite] (client) page reload docs/site/about.html
12:26:02 PM [vite] (client) page reload docs/website/about.html
12:26:08 PM [vite] (client) page reload docs/website/about.html
12:26:24 PM [vite] (client) page reload docs/website/about.html
12:26:30 PM [vite] (client) page reload docs/site/about.html
12:26:49 PM [vite] (client) page reload docs/site/play/index.html
12:26:49 PM [vite] (client) page reload docs/site/index.html
12:26:49 PM [vite] (client) page reload docs/site/credits.html
12:26:49 PM [vite] (client) page reload docs/site/about.html
